AwayRating,HomeRating,AwayRest,HomeRest,HomeWin
1425,1650,3,2,1
1575,1575,1,2,1
1500,1500,2,1,0
1400,1350,3,4,1
1400,1475,1,1,0
1525,1550,1,3,1
1375,1475,1,1,1
1500,1625,1,3,1
1350,1450,1,3,1
1425,1525,1,3,1
1400,1675,1,3,0
1600,1375,2,4,0
1675,1450,2,2,0
1500,1425,1,2,1
1650,1600,2,2,1
1625,1675,3,2,1
1575,1675,3,2,1
1500,1550,4,4,1
1450,1475,4,4,0
1475,1625,4,5,1
1575,1400,1,4,1
1650,1575,5,4,1
1375,1525,4,4,0
1425,1350,3,4,0
1600,1375,3,3,0
1550,1600,4,3,1
1500,1525,4,4,1
1450,1650,3,3,1
1350,1400,4,3,1
1675,1650,2,1,0
1625,1425,2,5,0
1600,1500,1,2,0
1500,1475,5,2,0
1450,1525,2,2,0
1400,1375,2,2,0
1375,1350,2,2,1
1650,1575,2,2,0
1575,1675,2,3,1
1600,1400,2,2,0
1550,1500,2,2,1
1500,1525,5,2,0
1350,1550,2,3,1
1475,1425,2,2,1
1425,1625,1,1,1
1500,1500,1,1,1
1300,1550,5,1,0
1425,1475,1,1,0
1675,1450,2,1,1
1600,1575,2,1,0
1350,1500,1,2,1
1575,1375,1,1,1
1625,1650,3,2,1
1525,1650,1,1,1
1500,1450,2,4,0
1600,1675,1,2,0
1400,1600,2,2,0
1400,1550,2,2,1
1475,1525,2,2,1
1625,1375,2,2,0
1475,1525,2,2,1
1400,1500,1,2,0
1650,1500,2,1,0
1400,1500,1,2,0
1500,1450,2,2,0
1350,1425,2,3,1
1550,1575,1,2,1
1550,1425,2,2,1
1500,1525,2,2,0
1550,1575,2,4,0
1375,1450,3,3,0
1625,1675,4,4,1
1550,1350,2,2,0
1425,1375,2,4,0
1450,1425,2,2,0
1400,1650,2,4,1
1300,1650,4,2,0
1475,1475,3,2,0
1400,1575,2,2,1
1500,1600,2,3,1
1525,1600,4,4,1
1550,1500,1,1,0
1500,1625,3,4,1
1625,1475,2,2,1
1450,1400,2,2,0
1375,1550,2,2,0
1425,1500,2,4,0
1500,1650,2,2,0
1525,1350,2,5,1
1600,1350,1,2,0
1400,1675,2,5,1
1375,1675,2,2,1
1450,1525,2,1,1
1475,1600,2,2,1
1575,1650,2,2,1
1600,1425,1,1,0
1575,1550,3,2,1
1300,1625,3,1,0
1375,1500,1,2,1
1450,1625,1,2,0
1450,1500,1,1,1
1675,1500,2,2,0
1575,1475,2,2,1
1525,1425,2,4,0
1550,1525,2,2,0
1650,1350,2,2,0
1500,1375,3,2,1
1400,1600,2,2,1
1475,1675,2,2,1
1525,1400,1,3,1
1600,1625,1,2,1
1575,1350,2,2,1
1300,1525,3,2,1
1500,1375,3,2,0
1550,1400,2,2,0
1450,1500,3,3,0
1675,1475,2,2,0
1650,1375,4,3,1
1475,1575,2,3,1
1500,1675,2,2,1
1400,1550,2,4,1
1425,1650,4,3,1
1675,1450,1,4,0
1675,1625,1,4,1
1575,1550,1,1,1
1650,1425,1,3,0
1500,1450,1,1,0
1500,1350,1,5,1
1400,1500,1,3,1
1475,1625,1,2,1
1525,1600,1,4,0
1425,1525,1,3,0
1475,1375,2,2,1
1625,1575,1,2,1
1500,1400,3,2,0
1375,1625,3,2,0
1500,1450,2,2,0
1650,1600,2,4,1
1600,1350,2,2,0
1525,1675,2,2,1
1650,1500,2,2,0
1475,1400,1,2,1
1350,1500,3,2,1
1575,1450,2,2,1
1550,1675,2,2,1
1475,1375,3,2,0
1650,1425,1,3,0
1600,1375,1,1,1
1650,1575,1,2,1
1425,1525,2,1,0
1550,1625,1,2,1
1350,1525,1,2,1
1450,1500,2,2,0
1500,1625,2,2,1
1550,1500,4,2,1
1425,1450,1,2,1
1475,1400,1,2,1
1475,1675,2,2,1
1600,1525,3,2,1
1550,1350,1,3,0
1675,1500,1,3,0
1650,1375,2,2,1
1550,1575,2,2,1
1400,1525,3,2,1
1375,1600,2,2,0
1375,1450,1,2,1
1675,1475,4,2,0
1600,1625,1,2,1
1500,1650,2,3,1
1500,1425,2,2,1
1400,1350,2,3,0
1625,1425,3,3,1
1400,1500,1,2,0
1650,1525,1,2,1
1400,1475,1,3,1
1500,1575,1,5,0
1625,1550,1,2,1
1375,1500,2,1,1
1450,1350,1,2,0
1550,1600,2,2,1
1500,1450,2,3,1
1625,1675,2,3,0
1575,1600,3,2,1
1675,1525,2,3,0
1400,1500,2,2,0
1550,1575,2,2,0
1625,1500,2,2,1
1500,1475,2,3,1
1450,1375,2,3,1
1375,1425,2,3,0
1525,1450,2,2,1
1425,1575,3,1,1
1400,1600,3,2,1
1350,1625,3,1,1
1525,1500,2,4,1
1300,1425,5,1,1
1500,1400,1,1,1
1400,1550,1,3,0
1375,1475,1,3,0
1450,1575,1,1,0
1550,1650,1,3,1
1475,1525,1,1,1
1425,1500,1,1,1
1350,1600,1,2,1
1500,1650,1,5,1
1300,1625,1,2,1
1550,1625,2,3,0
1500,1475,2,2,1
1425,1650,2,2,1
1575,1425,3,2,0
1675,1575,4,2,0
1475,1400,2,2,0
1600,1675,2,4,1
1650,1375,2,3,1
1525,1525,2,2,0
1600,1450,3,2,0
1550,1450,2,3,1
1350,1400,2,2,0
1500,1500,2,2,1
1300,1375,2,3,1
1625,1550,2,1,0
1375,1425,1,2,1
1650,1475,2,2,0
1375,1675,2,2,1
1475,1500,2,2,1
1625,1600,2,2,1
1500,1500,2,2,0
1650,1525,2,2,0
1425,1400,2,2,0
1550,1450,2,2,1
1675,1525,2,2,1
1625,1350,1,2,1
1500,1600,4,2,0
1475,1550,1,2,1
1525,1575,1,3,0
1300,1400,2,3,1
1625,1675,2,2,0
1500,1550,2,2,0
1525,1500,2,2,0
1400,1450,2,4,1
1625,1500,2,2,0
1650,1425,2,2,1
1675,1650,2,2,1
1375,1575,2,4,1
1475,1375,2,2,1
1300,1600,1,2,1
1425,1450,2,2,1
1550,1500,1,2,1
1350,1600,2,2,1
1475,1575,2,2,1
1425,1475,1,1,1
1450,1525,1,2,0
1400,1525,1,1,0
1575,1500,2,2,0
1300,1350,2,2,1
1600,1650,2,2,1
1375,1550,2,2,1
1675,1675,2,2,0
1375,1500,2,2,0
1625,1550,2,2,1
1625,1500,2,2,0
1450,1400,2,3,1
1600,1650,2,2,1
1525,1425,2,2,0
1525,1575,2,1,1
1650,1475,1,2,0
1600,1450,1,2,1
1500,1375,4,2,1
1400,1500,2,2,1
1350,1500,2,2,1
1600,1575,2,3,0
1550,1350,2,5,1
1525,1500,1,2,1
1425,1475,4,3,0
1450,1675,2,2,1
1625,1625,2,2,1
1675,1550,3,3,0
1600,1475,2,2,0
1625,1425,1,2,1
1500,1350,1,1,1
1525,1375,2,3,1
1550,1400,1,4,1
1400,1450,1,2,0
1375,1500,1,1,1
1450,1575,1,2,1
1575,1650,1,3,1
1650,1600,3,2,1
1675,1500,1,2,1
1525,1625,2,2,0
1675,1425,2,2,1
1450,1375,2,2,1
1300,1575,5,2,0
1650,1400,2,2,0
1500,1475,3,3,0
1575,1375,2,2,0
1675,1500,1,2,0
1425,1350,2,2,1
1450,1550,2,2,1
1525,1400,2,2,1
1450,1500,1,2,1
1650,1475,1,1,0
1500,1550,1,3,0
1300,1625,1,3,1
1575,1475,1,3,0
1500,1375,3,1,1
1425,1675,1,2,1
1525,1600,1,3,1
1675,1375,2,2,0
1650,1425,3,3,1
1500,1500,2,2,0
1600,1550,2,3,0
1450,1575,3,2,1
1650,1650,1,2,0
1400,1625,3,2,1
1425,1450,2,2,0
1500,1350,2,3,0
1500,1575,3,3,0
1525,1625,2,4,1
1375,1400,2,1,1
1600,1675,5,3,1
1550,1475,3,3,0
1525,1475,5,3,0
1675,1350,2,5,0
1575,1600,2,2,0
1475,1450,1,2,0
1675,1625,1,2,1
1450,1625,2,2,0
1500,1550,2,2,1
1525,1375,1,1,0
1425,1600,2,1,1
1500,1375,2,4,0
1300,1650,4,2,1
1550,1650,1,2,1
1575,1425,2,3,1
1675,1500,2,3,1
1575,1400,1,2,1
1500,1400,1,5,0
1675,1650,2,2,0
1575,1375,2,2,1
1675,1625,1,2,0
1300,1525,2,4,0
1600,1350,2,4,0
1525,1450,2,2,0
1425,1500,2,4,0
1375,1600,2,2,1
1550,1425,2,2,1
1500,1625,2,2,1
1475,1650,3,2,1
1550,1475,1,3,1
1450,1550,1,3,0
1425,1400,1,2,1
1375,1400,1,2,1
1625,1500,1,2,1
1500,1575,2,1,1
1475,1450,1,3,1
1600,1675,2,2,0
1525,1600,2,2,1
1650,1350,2,5,1
1500,1350,2,2,0
1675,1575,2,3,0
1375,1625,2,2,1
1525,1425,2,2,1
1525,1500,1,1,0
1650,1400,1,2,1
1425,1550,2,2,0
1550,1500,2,2,1
1675,1525,1,1,0
1675,1650,1,3,0
1375,1400,1,2,1
1600,1475,2,3,0
1425,1625,2,3,0
1600,1575,2,2,0
1375,1475,3,3,1
1450,1500,3,3,0
1350,1350,2,2,1
1625,1525,1,2,1
1550,1650,2,2,1
1625,1400,3,2,1
1525,1675,2,2,0
1375,1425,2,2,0
1450,1550,1,2,0
1600,1650,1,2,1
1575,1500,4,5,0
1450,1600,4,1,1
1475,1400,1,2,1
1375,1500,1,2,1
1675,1350,2,1,0
1300,1500,5,2,1
1475,1425,1,1,1
1575,1500,2,2,1
1650,1625,1,1,1
1500,1675,5,5,0
1600,1600,5,5,1
1400,1350,5,5,1
1375,1550,5,5,0
1450,1375,5,5,0
1475,1500,5,5,1
1650,1425,5,5,0
1400,1575,5,5,1
1525,1525,5,5,1
1625,1675,5,5,1
1675,1475,1,5,0
1600,1400,1,1,1
1500,1350,5,5,1
1650,1450,5,5,1
1650,1500,1,5,1
1675,1625,1,5,0
1425,1550,1,5,1
1450,1400,1,1,1
1625,1375,1,1,1
1475,1425,1,5,1
1525,1350,2,2,0
1500,1550,2,2,1
1575,1500,5,2,1
1600,1625,2,2,1
1375,1525,2,3,0
1550,1500,1,1,1
1375,1675,3,2,1
1500,1450,1,2,0
1600,1500,3,2,1
1500,1450,2,2,1
1300,1475,5,2,1
1575,1425,3,2,1
1400,1650,2,2,1
1650,1475,2,2,0
1625,1400,2,2,0
1550,1425,2,2,1
1400,1575,1,2,0
1600,1550,1,1,1
1475,1350,1,3,1
1450,1525,1,2,1
1525,1375,1,1,1
1675,1425,3,1,0
1625,1575,1,1,1
1425,1625,2,2,0
1600,1550,2,2,0
1650,1350,2,3,0
1375,1650,2,2,1
1500,1500,2,2,1
1675,1500,1,2,0
1475,1675,2,2,1
1450,1500,2,2,1
1425,1600,1,2,0
1500,1475,1,2,0
1600,1425,1,2,0
1500,1650,1,1,1
1375,1450,2,2,0
1625,1525,2,2,1
1675,1550,2,3,1
1375,1575,2,3,1
1650,1350,2,3,0
1575,1350,3,2,1
1375,1500,1,2,1
1625,1475,2,2,0
1500,1400,2,4,1
1550,1675,2,2,1
1650,1400,1,4,1
1500,1475,2,2,0
1550,1425,1,2,0
1425,1575,2,1,1
1625,1450,1,2,1
1375,1625,1,2,1
1525,1450,4,3,1
1600,1500,2,1,0
1675,1600,1,2,1
1350,1500,1,2,1
1550,1350,2,2,1
1650,1525,3,3,1
1575,1675,2,2,1
1575,1500,1,2,0
1575,1450,2,2,1
1400,1400,2,3,1
1675,1550,1,2,1
1375,1500,3,2,0
1450,1625,2,2,1
1375,1650,2,1,1
1350,1675,2,2,1
1475,1500,2,2,0
1475,1500,3,3,1
1425,1600,2,2,1
1525,1600,2,2,1
1525,1550,2,2,0
1425,1425,3,1,0
1575,1475,1,1,0
1400,1625,1,3,0
1450,1650,1,3,1
1500,1525,2,2,1
1525,1350,1,3,0
1500,1675,2,2,1
1600,1500,2,2,1
1550,1475,1,2,1
1575,1375,2,2,1
1650,1675,2,2,1
1550,1400,2,2,1
1450,1375,2,2,1
1500,1350,2,2,0
1625,1600,2,2,1
1400,1425,2,2,0
1650,1575,1,2,1
1450,1450,1,2,0
1625,1550,3,2,0
1400,1625,2,2,0
1525,1350,2,2,0
1675,1375,2,2,0
1500,1650,2,3,1
1300,1525,5,2,1
1475,1500,3,2,1
1500,1425,2,3,1
1500,1575,1,3,0
1300,1475,1,1,1
1650,1375,1,3,0
1375,1425,1,2,1
1425,1600,1,3,1
1675,1450,3,2,0
1400,1525,1,1,1
1625,1600,1,3,1
1625,1450,1,2,1
1500,1550,1,3,1
1475,1500,3,3,1
1350,1575,1,2,1
1500,1650,1,3,0
1675,1500,1,2,1
1475,1525,1,2,1
1550,1550,3,2,0
1625,1525,2,2,1
1525,1600,1,2,1
1575,1625,2,2,0
1375,1500,2,2,0
1350,1375,2,2,0
1400,1575,2,2,0
1300,1450,2,2,1
1425,1450,2,2,0
1500,1400,2,4,1
1500,1600,1,2,1
1425,1675,2,3,1
1550,1450,1,1,0
1350,1425,1,1,0
1525,1375,1,1,0
1600,1575,1,1,1
1400,1650,1,3,0
1450,1500,1,2,1
1475,1675,2,2,1
1575,1625,1,1,1
1600,1475,1,3,0
1300,1650,1,2,1
1525,1625,2,2,1
1400,1550,2,2,0
1500,1425,2,2,1
1500,1500,2,2,1
1375,1675,2,2,0
1425,1575,2,2,0
1550,1675,2,2,1
1600,1400,2,1,0
1600,1525,2,1,1
1625,1650,2,2,1
1300,1500,2,2,1
1450,1650,2,2,1
1550,1350,1,3,0
1575,1500,3,2,1
1550,1375,2,3,1
1500,1475,2,3,1
1500,1675,2,2,1
1475,1625,3,2,1
1525,1450,2,4,1
1450,1575,2,2,0
1675,1350,2,5,1
1500,1625,2,2,0
1400,1425,2,3,0
1575,1550,1,1,0
1500,1400,1,4,1
1525,1650,4,2,1
1425,1650,2,2,1
1475,1600,1,2,1
1500,1600,1,2,1
1675,1375,1,2,1
1550,1375,2,4,1
1400,1625,1,2,1
1675,1450,3,2,1
1350,1500,3,2,0
1525,1425,2,2,1
1400,1500,2,3,0
1575,1600,2,2,0
1500,1600,2,2,1
1525,1500,2,2,1
1425,1625,2,2,1
1650,1575,2,2,0
1475,1650,3,2,1
1525,1400,1,1,1
1575,1350,1,3,1
1375,1625,2,2,1
1350,1550,1,2,1
1600,1550,1,3,0
1475,1650,1,1,1
1425,1375,1,2,1
1475,1400,3,2,1
1625,1450,2,4,0
1675,1500,2,2,1
1450,1425,2,2,1
1500,1375,2,1,1
1525,1675,2,3,1
1650,1575,2,2,0
1500,1600,2,2,1
1525,1475,1,2,1
1500,1450,3,1,1
1600,1525,2,2,0
1625,1375,1,2,0
1675,1650,1,2,1
1425,1350,2,2,1
1450,1475,1,2,1
1500,1575,1,2,1
1400,1375,3,2,1
1625,1550,3,3,0
1600,1500,1,2,0
1600,1425,2,2,1
1675,1650,2,2,0
1300,1500,5,1,1
1575,1550,2,3,0
1425,1675,1,2,1
1625,1350,2,4,1
1525,1475,2,2,1
1600,1400,1,4,1
1500,1450,1,2,1
1475,1350,2,2,1
1375,1650,2,2,0
1400,1425,1,2,0
1625,1500,1,3,0
1575,1500,1,2,1
1600,1650,2,2,0
1525,1500,3,2,0
1675,1575,2,3,0
1475,1450,2,4,0
1500,1400,2,2,0
1500,1675,2,2,1
1600,1350,2,2,0
1400,1650,2,2,1
1350,1475,2,2,1
1375,1525,3,1,1
1425,1550,2,3,1
1375,1575,2,2,0
1500,1675,2,1,1
1650,1625,1,3,1
1600,1450,2,3,1
1375,1475,1,1,1
1675,1550,1,4,1
1500,1625,1,3,1
1475,1500,1,2,0
1550,1425,1,1,0
1300,1400,4,1,1
1450,1350,1,1,1
1575,1525,1,3,1
1500,1575,1,2,1
1600,1500,2,2,0
1525,1650,2,3,0
1425,1375,4,2,1
1400,1675,2,2,0
1625,1425,2,1,1
1675,1400,1,1,0
1300,1450,2,2,0
1550,1500,2,2,1
1400,1600,2,2,0
1550,1575,2,2,1
1600,1475,1,2,0
1375,1500,2,2,1
1375,1550,2,1,1
1525,1650,2,3,0
1625,1500,3,3,1
1450,1475,3,3,0
1525,1575,3,3,1
1425,1650,3,2,1
1425,1500,2,3,1
1450,1675,1,4,0
1475,1350,1,5,1
1500,1400,1,2,1
1625,1600,2,2,1
1375,1500,1,2,0
1575,1450,2,2,1
1550,1625,2,1,1
1475,1375,2,2,1
1350,1500,4,2,1
1525,1675,1,2,0
1425,1525,1,1,1
1650,1600,2,3,1
1550,1400,2,3,1
1575,1425,1,1,1
1375,1375,2,2,0
1525,1500,2,2,0
1625,1400,2,2,0
1500,1625,2,2,1
1300,1475,4,2,1
1450,1600,2,2,1
1650,1550,3,2,0
1350,1525,2,2,1
1475,1675,2,2,0
1450,1500,2,2,1
1425,1575,2,3,1
1475,1425,1,1,1
1525,1550,1,2,0
1625,1350,1,3,0
1675,1425,3,2,1
1400,1600,2,2,1
1550,1500,1,1,1
1450,1500,2,2,0
1400,1675,2,1,1
1650,1400,3,1,1
1575,1350,2,2,1
1375,1500,2,2,0
1500,1525,4,2,1
1375,1675,2,2,1
1450,1625,2,2,1
1575,1600,3,2,1
1500,1525,1,2,0
1625,1475,1,2,0
1600,1625,2,2,1
1650,1425,1,2,0
1375,1575,1,1,1
1575,1475,1,3,1
1400,1350,2,3,0
1450,1650,2,4,0
1500,1375,2,2,1
1625,1600,1,1,1
1425,1350,3,2,0
1450,1550,2,3,1
1600,1500,2,3,0
1400,1525,2,2,1
1500,1625,2,2,1
1675,1525,3,2,0
1400,1650,1,2,1
1425,1500,2,3,0
1450,1475,1,2,1
1475,1600,2,1,1
1550,1375,1,2,0
1550,1675,4,3,1
1350,1575,1,2,1
1450,1575,1,2,0
1500,1550,2,1,0
1500,1675,2,1,0
1425,1375,1,2,1
1400,1625,3,2,0
1525,1575,3,2,1
1475,1550,2,2,0
1650,1675,2,2,1
1525,1500,2,2,0
1300,1425,5,3,1
1400,1475,2,2,0
1500,1500,1,2,0
1450,1450,2,2,1
1350,1625,2,3,1
1575,1375,2,2,1
1600,1525,3,1,0
1650,1675,4,2,0
1625,1400,1,1,0
1500,1350,1,4,1
1375,1500,1,2,0
1375,1600,2,4,0
1650,1625,2,2,0
1475,1350,2,2,0
1400,1450,2,2,1
1650,1450,1,2,1
1525,1550,2,3,0
1500,1425,2,3,0
1675,1375,2,1,0
1550,1475,2,2,1
1600,1500,1,2,1
1425,1575,2,2,0
1350,1525,2,3,1
1625,1475,3,2,1
1575,1450,4,2,0
1675,1550,2,2,1
1600,1550,3,2,0
1450,1425,2,2,0
1500,1575,3,2,1
1600,1425,2,2,0
1625,1475,2,2,0
